id,title,authors,year,tier,area,doc_type,url,landing,repo,source,fetched,sha256,reason_not_fetched
doi:10.18653/v1/2024.argmining-1.8,Overview of DialAM-2024: Argument Mining in Natural Language Dialogues,Ramon Ruiz-Dolz; John Lawrence; Ella Schad; Chris Reed,2024,1,dialogue|mining,workshop,https://aclanthology.org/2024.argmining-1.8.pdf,https://aclanthology.org/2024.argmining-1.8/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.24963/ijcai.2018/766,Five Years of Argument Mining: a Data-driven Analysis,Elena Cabrio; Serena Villata,2018,1,mining,conference,https://doi.org/10.24963/ijcai.2018/766,https://doi.org/10.24963/ijcai.2018/766,,,False,,no open-access PDF url resolved
doi:10.4018/jcini.2013010101,From Argument Diagrams to Argumentation Mining in Texts: A Survey,Andreas Peldszus; Manfred Stede,2013,1,mining,journal,https://doi.org/10.4018/jcini.2013010101,https://doi.org/10.4018/jcini.2013010101,,,False,,no open-access PDF url resolved
title:c01257ffd78768bab2a908ba8509b177ebd2f015,Handbook of Formal Argumentation,Pietro Baroni; Dov Gabbay; Massimiliano Giacomin; Leendert van der Torre,2018,1,formal,book,,,,,False,,no open-access PDF url resolved
doi:10.1007/s10458-009-9116-7,On judgment aggregation in abstract argumentation,Martin Caminada; Gabriella Pigozzi,2011,2,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1007/s10506-010-9104-x,Argumentation Mining,Raquel Mochales; Marie-Francine Moens,2011,2,mining,journal,http://dx.doi.org/10.1007/s10506-010-9104-x,http://dx.doi.org/10.1007/s10506-010-9104-x,,,False,,no open-access PDF url resolved
doi:10.1038/s41586-021-03215-w,An autonomous debating system,Noam Slonim; Yonatan Bilu; Carlos Alzate; Roy Bar-Haim,2021,2,dialogue|llm,journal,https://doi.org/10.1038/s41586-021-03215-w,https://doi.org/10.1038/s41586-021-03215-w,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2010.486479,Answer-set programming encodings for argumentation frameworks,Uwe Egly; Sarah Alice Gaggl; Stefan Woltran,2010,2,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2013.869767,"Defeasible logic programming: DeLP-servers, contextual queries, and explanations for answers",Alejandro J. García; Guillermo R. Simari,2014,2,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1080/19462166.2014.1001790,Context-aware reconfiguration of large-scale surveillance systems: argumentative approach,Peter Novák 0001; Cees Witteveen,2015,2,mining,journal,http://content.iospress.com/doi/10.1080/19462166.2014.1001790,http://content.iospress.com/doi/10.1080/19462166.2014.1001790,,,False,,no open-access PDF url resolved
doi:10.1093/logcom/exp064,A Relevance-theoretic Framework for Constructing and Deconstructing Enthymemes,Elizabeth Black; Anthony Hunter,2012,2,formal,journal,,,,,False,,no open-access PDF url resolved
doi:10.1145/2701336.2701635,"Argumentation Mining: Where Are We Now, Where Do We Want to Be and How Do We Get There?",Marie-Francine Moens,2013,2,mining,workshop,https://doi.org/10.1145/2701336.2701635,https://doi.org/10.1145/2701336.2701635,,,False,,no open-access PDF url resolved
doi:10.1145/2872427.2883039,Remedying Web Hijacking: Notification Effectiveness and Webmaster Comprehension,Frank Li; Grant Ho; Eric Kuan; Yuan Niu,2016,2,quality,conference,https://doi.org/10.1145/2872427.2883039,https://doi.org/10.1145/2872427.2883039,,,False,,no open-access PDF url resolved
doi:10.1145/2872427.2883081,Winning Arguments: Interaction Dynamics and Persuasion Strategies in Good-Faith Online Discussions,Chenhao Tan; Vlad Niculae; Cristian Danescu-Niculescu-Mizil; Lillian Lee,2016,2,dialogue|resources,conference,https://doi.org/10.1145/2872427.2883081,https://doi.org/10.1145/2872427.2883081,,,False,,no open-access PDF url resolved
doi:10.1145/2872427.2883091,A Robust Framework for Estimating Linguistic Alignment in Twitter Conversations,Gabriel Doyle; Dan Yurovsky; Michael C. Frank,2016,2,dialogue,conference,https://doi.org/10.1145/2872427.2883091,https://doi.org/10.1145/2872427.2883091,,,False,,no open-access PDF url resolved
doi:10.1145/3308558.3314127,Can You Give Me a Reason?: Argument-Inducing Online Forum by Argument Mining,Makiko Ida; Gaku Morio; Kosui Iwasa; Tomoyuki Tatsumi,2019,2,mining,conference,https://doi.org/10.1145/3308558.3314127,https://doi.org/10.1145/3308558.3314127,,,False,,no open-access PDF url resolved
doi:10.1177/1461444807081230,"Democracy, deliberation and design: the case of online discussion forums",Scott Wright; John Street,2007,2,dialogue,journal,https://doi.org/10.1177/1461444807081230,https://doi.org/10.1177/1461444807081230,,,False,,no open-access PDF url resolved
doi:10.18653/v1/2020.coling-main.540,Fact vs. Opinion: the Role of Argumentation Features in News Classification,Tariq Alhindi; Smaranda Muresan; Daniel Preotiuc-Pietro,2020,2,mining,conference,https://aclanthology.org/2020.coling-main.540.pdf,https://aclanthology.org/2020.coling-main.540/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.eacl-main.55,End-to-End Argument Mining as Biaffine Dependency Parsing,Yuxiao Ye; Simone Teufel,2021,2,mining,conference,https://aclanthology.org/2021.eacl-main.55.pdf,https://aclanthology.org/2021.eacl-main.55/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.acl-long.526,Cluster & Tune: Boost Cold Start Performance in Text Classification,Eyal Shnarch; Ariel Gera; Alon Halfon; Lena Dankin,2022,2,quality,conference,https://aclanthology.org/2022.acl-long.526.pdf,https://aclanthology.org/2022.acl-long.526/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.emnlp-main.252,How to disagree well: Investigating the dispute tactics used on Wikipedia,Christine De Kock; Tom Stafford; Andreas Vlachos,2022,2,quality,conference,https://aclanthology.org/2022.emnlp-main.252.pdf,https://aclanthology.org/2022.emnlp-main.252/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.emnlp-main.560,Multitask Instruction-based Prompting for Fallacy Recognition,Tariq Alhindi; Tuhin Chakrabarty; Elena Musi; Smaranda Muresan,2022,2,llm|quality,conference,https://aclanthology.org/2022.emnlp-main.560.pdf,https://aclanthology.org/2022.emnlp-main.560/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.findings-emnlp.532,Logical Fallacy Detection,Zhijing Jin; Abhinav Lalwani; Tejas Vaidhya; Xiaoyu Shen,2022,2,quality,conference,https://aclanthology.org/2022.findings-emnlp.532.pdf,https://aclanthology.org/2022.findings-emnlp.532/,,,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d15-1110,Joint prediction in MST-style discourse parsing for argumentation mining,Andreas Peldszus; Manfred Stede,2015,2,mining,conference,https://aclanthology.org/D15-1110.pdf,https://aclanthology.org/D15-1110/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d15-1255,Exploiting Debate Portals for Semi-Supervised Argumentation Mining in User-Generated Web Discourse,Ivan Habernal; Iryna Gurevych,2015,2,mining,conference,https://aclanthology.org/D15-1255.pdf,https://aclanthology.org/D15-1255/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d17-1143,Here's my point: Joint pointer architecture for argument mining,Peter Potash; Alexey Romanov; Anna Rumshisky,2016,2,mining,preprint,https://aclanthology.org/D17-1143.pdf,:https://www.aclweb.org/anthology/D17-1143.pdf:URL,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d17-2002,Argotario: Computational Argumentation Meets Serious Games,Ivan Habernal; Raffael Hannemann; Christian Pollak; Christopher Klamm,2017,2,quality,conference,https://aclanthology.org/D17-2002.pdf,https://aclanthology.org/D17-2002/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d18-1402,Cross-topic Argument Mining from Heterogeneous Sources,Christian Stab; Tristan Miller; Benjamin Schiller; Pranav Rai,2018,2,mining,conference,https://aclanthology.org/D18-1402.pdf,https://aclanthology.org/D18-1402/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/d19-1291,AMPERSAND: Argument Mining for PERSuAsive oNline Discussions,Tuhin Chakrabarty; Christopher Hidey; Smaranda Muresan; Kathy McKeown,2019,2,mining,conference,https://aclanthology.org/D19-1291.pdf,https://aclanthology.org/D19-1291/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/k19-1028,Automatically Extracting Challenge Sets for Non-Local Phenomena in Neural Machine Translation,Leshem Choshen; Omri Abend,2019,2,quality,conference,https://aclanthology.org/K19-1028.pdf,https://aclanthology.org/K19-1028/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/n16-1017,Conversational Flow in Oxford-style Debates,Justine Zhang; Ravi Kumar; Sujith Ravi; Cristian Danescu-Niculescu-Mizil,2016,2,dialogue,conference,https://aclanthology.org/N16-1017.pdf,https://aclanthology.org/N16-1017/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/n16-1164,End-to-End Argumentation Mining in Student Essays,Isaac Persing; Vincent Ng,2016,2,mining,conference,https://aclanthology.org/N16-1164.pdf,https://aclanthology.org/N16-1164/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/n18-1036,Before Name-Calling: Dynamics and Triggers of Ad Hominem Fallacies in Web Argumentation,Ivan Habernal; Henning Wachsmuth; Iryna Gurevych; Benno Stein,2018,2,quality,conference,https://aclanthology.org/N18-1036.pdf,https://aclanthology.org/N18-1036/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/p16-1150,Which argument is more convincing? Analyzing and predicting convincingness of Web arguments using bidirectional LSTM,Ivan Habernal; Iryna Gurevych,2016,2,quality,conference,https://aclanthology.org/P16-1150.pdf,https://aclanthology.org/P16-1150/,,,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/p17-2039,Argumentation Quality Assessment: Theory vs. Practice,Henning Wachsmuth; Nona Naderi; Ivan Habernal; Yufang Hou,2017,2,quality,conference,https://aclanthology.org/P17-2039.pdf,https://aclanthology.org/P17-2039/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/p18-1059,Inherent Biases in Reference-based Evaluation for Grammatical Error Correction,Leshem Choshen; Omri Abend,2018,2,mining,conference,https://aclanthology.org/P18-1059.pdf,https://aclanthology.org/P18-1059/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/p18-2095,Will it Blend? Blending Weak and Strong Labeled Data in a Neural Network for Argumentation Mining,Eyal Shnarch; Carlos Alzate; Lena Dankin; Martin Gleize,2018,2,mining,conference,https://aclanthology.org/P18-2095.pdf,https://aclanthology.org/P18-2095/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/p19-1093,Are You Convinced? Choosing the More Convincing Evidence with a Siamese Network,Martin Gleize; Eyal Shnarch; Leshem Choshen; Lena Dankin,2019,2,quality,conference,https://aclanthology.org/P19-1093.pdf,https://aclanthology.org/P19-1093/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/s18-1186,BLCU_NLP at SemEval-2018 Task 12: An Ensemble Model for Argument Reasoning Based on Hierarchical Attention,Meiqian Zhao; Chunhua Liu; Lu Liu; Yan Zhao,2018,2,formal|mining,workshop,https://aclanthology.org/S18-01186.pdf,https://aclanthology.org/S18-01186/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/s19-2001,SemEval-2019 Task 1: Cross-lingual Semantic Parsing with UCCA,Daniel Hershcovich; Zohar Aizenbud; Leshem Choshen; Elior Sulem,2019,2,mining,workshop,https://aclanthology.org/S19-0201.pdf,https://aclanthology.org/S19-0201/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w15-4631,Argument Mining: Extracting Arguments from Online Dialogue,Reid Swanson; Brian Ecker; Marilyn Walker,2015,2,mining,conference,https://aclanthology.org/W15-4631.pdf,https://aclanthology.org/W15-4631/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w16-2805,The CASS Technique for Evaluating the Performance of Argument Mining,Rory Duthie; John Lawrence; Katarzyna Budzynska; Chris Reed,2016,2,mining,workshop,https://aclanthology.org/W16-2805.pdf,https://aclanthology.org/W16-2805/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w16-2815,Fill the Gap! Analyzing Implicit Premises between Claims from Online Debates,Filip Boltužić; Jan Šnajder,2016,2,dialogue|mining,workshop,https://aclanthology.org/W16-2815.pdf,https://aclanthology.org/W16-2815/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w17-5111,Using Question-Answering Techniques to Implement a Knowledge-Driven Argument Mining Approach,Patrick Saint-Dizier,2017,2,mining,workshop,https://aclanthology.org/W17-5111.pdf,https://aclanthology.org/W17-5111/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w17-5112,What works and what does not: Classifier and feature analysis for argument mining,Ahmet Aker; Alfred Sliwa; Yuan Ma; Ruishen Lui,2017,2,mining,workshop,https://aclanthology.org/W17-5112.pdf,https://aclanthology.org/W17-5112/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/w18-5211,Frame- and Entity-Based Knowledge for Common-Sense Argumentative Reasoning,Teresa Botschen; Daniil Sorokin; Iryna Gurevych,2018,2,mining,workshop,https://aclanthology.org/W18-5211.pdf,https://aclanthology.org/W18-5211/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.2200/s00883ed1v01y201811hlt040,Argumentation mining,Manfred Stede; Jodi Schneider; Graeme Hirst,2018,2,mining,journal,https://doi.org/10.2200/S00883ED1V01Y201811HLT040,https://doi.org/10.2200/S00883ED1V01Y201811HLT040,,,False,,no open-access PDF url resolved
doi:10.3115/v1/w14-2105,Identifying Appropriate Support for Propositions in Online User Comments,Joonsuk Park; Claire Cardie,2014,2,mining,workshop,https://aclanthology.org/W14-2105.pdf,https://aclanthology.org/W14-2105/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.3115/v1/w15-0516,Combining Argument Mining Techniques,John Lawrence; Chris Reed,2015,2,mining,workshop,https://aclanthology.org/W15-0516.pdf,https://aclanthology.org/W15-0516/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:156478672e00c4f4e6cb6079e97120915f66c518,"Argumentation Schemes. History, Classifications, and Computational Applications",Fabrizio Macagno; Douglas Walton; Chris Reed,2017,2,formal,journal,http://dougwalton.ca/papers in pdf/17IFColog SCHEMES.pdf,http://dougwalton.ca/papers in pdf/17IFColog SCHEMES.pdf,,,False,,no open-access PDF url resolved
title:301be2f14805fc8646b001ef9b132eb5f8bbd02b,Context-Independent Claim Detection for Argument Mining,Marco Lippi; Paolo Torroni,2015,2,mining,conference,http://ijcai.org/papers15/Abstracts/IJCAI15-033.html,http://ijcai.org/papers15/Abstracts/IJCAI15-033.html,,,False,,no open-access PDF url resolved
title:3b6e82826f260ecbbce1a01398ed3ab9749f3820,"Argument Mining on Twitter: Arguments, Facts and Sources",Mihai Dusmanu; Elena Cabrio; Serena Villata,2017,2,mining,conference,https://aclanthology.org/D17-1245.pdf,https://aclanthology.org/D17-1245/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:55893f7c5565660a055d8f689db3e97c66843203,Computational Argumentation Quality Assessment in Natural Language,Henning Wachsmuth; Nona Naderi; Yufang Hou; Yonatan Bilu,2017,2,quality,conference,https://aclanthology.org/E17-1017.pdf,https://aclanthology.org/E17-1017/,,,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:61fadcac208eb3f58c0f9834cf909c5aaa5c7972,The Sensitivity of Annotator Bias to Task Definitions in Argument Mining,Terne Sasha Thorn Jakobsen; Maria Barrett; Anders Sogaard; David Lassen,2022,2,mining,workshop,https://aclanthology.org/2022.law-1.6.pdf,https://aclanthology.org/2022.law-1.6/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:64dc8586a606c06f88cadd787c29a74d629851a5,Social Abstract Argumentation,João Leite; João Martins,2011,2,formal,conference,http://ijcai.org/papers11/Papers/IJCAI11-381.pdf,http://ijcai.org/papers11/Papers/IJCAI11-381.pdf,,,False,,no open-access PDF url resolved
title:a5c50d63741d8b767183270f762294ea5fa75236,"Argumentation Mining: The Detection, Classification and Structure of Arguments in Text",Raquel Mochales Palau; Marie-Francine Moens,2009,2,mining,conference,http://doi.acm.org/10.1145/1568234.1568246,http://doi.acm.org/10.1145/1568234.1568246,,,False,,no open-access PDF url resolved
title:c60c719a9320f01f8ebf567305e6334f8c7a0202,Cross-Domain Mining of Argumentative Text through Distant Supervision,Khalid Al-Khatib; Henning Wachsmuth; Matthias Hagen; Jonas Köhler,2016,2,mining,conference,https://aclanthology.org/N16-1165.pdf,https://aclanthology.org/N16-1165/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:ca6f9e03a1dcd4266f5306de7e9977daf3fcad22,Argumentation Mining in User-Generated Web Discourse,Ivan Habernal; Iryna Gurevych,2017,2,mining,conference,https://aclanthology.org/J17-1004.pdf,https://aclanthology.org/J17-1004/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:e2dd0248ee2104b83fabae9e89b7c5d7e89a5690,Argumentation Mining on the Web from Information Seeking Perspective,Ivan Habernal; Judith Eckle-Kohler; Iryna Gurevych,2014,2,mining,conference,http://ceur-ws.org/Vol-1341/paper4.pdf,http://ceur-ws.org/Vol-1341/paper4.pdf,,,False,,no open-access PDF url resolved
title:f36bd2c70ff42e41d1283ef243b7b55af248697f,GRASP: Rich Patterns for Argumentation Mining,Eyal Shnarch; Ran Levy; Vikas Raykar; Noam Slonim,2017,2,mining,conference,https://aclanthology.org/D17-1140.pdf,https://aclanthology.org/D17-1140/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
title:fc0205dac13ac46c067f284b16656e1b179d8904,Neural End-to-End Learning for Computational Argumentation Mining,Steffen Eger; Johannes Daxenberger; Iryna Gurevych,2017,2,mining,conference,https://aclanthology.org/P17-1002.pdf,https://aclanthology.org/P17-1002/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.1007/978-3-030-30179-8_4,Data Acquisition for Argument Search: The args.me corpus,Yamen Ajjour; Henning Wachsmuth; Johannes Kiesel; Martin Potthast,2019,3,resources,conference,,,,,False,,no open-access PDF url resolved
doi:10.1007/978-3-030-85251-1_4,SubjectivITA: An Italian Corpus for Subjectivity Detection in Newspapers,Francesco Antici; Luca Bolognini; Matteo Antonio Inajetovic; Bogdan Ivasiuk,2021,3,resources,conference,https://doi.org/10.1007/978-3-030-85251-1_4,https://doi.org/10.1007/978-3-030-85251-1_4,,,False,,no open-access PDF url resolved
doi:10.1162/coli_a_00295,Parsing Argumentation Structures in Persuasive Essays,Christian Stab; Iryna Gurevych,2017,3,mining|resources,journal,https://aclanthology.org/J17-3005.pdf,https://aclanthology.org/J17-3005/,,,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.1609/aaai.v34i05.6270,Corpus Wide Argument Mining - A Working Solution,Liat Ein-Dor; Eyal Shnarch; Lena Dankin; Alon Halfon,2020,3,mining|resources,conference,https://doi.org/10.1609/aaai.v34i05.6270,https://doi.org/10.1609/aaai.v34i05.6270,,,False,,no open-access PDF url resolved
doi:10.18653/v1/2020.findings-emnlp.243,Unsupervised Expressive Rules Provide Explainability and Assist Human Experts Grasping New Domains,Eyal Shnarch; Leshem Choshen; Guy Moshkowich; Ranit Aharonov,2020,3,resources,conference,https://aclanthology.org/2020.findings-emnlp.243.pdf,https://aclanthology.org/2020.findings-emnlp.243/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.acl-long.53,Breaking Down the Invisible Wall of Informal Fallacies in Online Discussions,Saumya Sahai; Oana Balalau; Roxana Horincar,2021,3,dialogue|quality|resources,conference,https://aclanthology.org/2021.acl-long.53.pdf,https://aclanthology.org/2021.acl-long.53/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.eacl-main.74,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,Gautier Izacard; Edouard Grave,2021,3,llm|resources,conference,https://aclanthology.org/2021.eacl-main.74.pdf,https://aclanthology.org/2021.eacl-main.74/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.emnlp-main.619,Q^{2}: Evaluating Factual Consistency in Knowledge-Grounded Dialogues via Question Generation and Question Answering,Or Honovich; Leshem Choshen; Roee Aharoni; Ella Neeman,2021,3,resources,conference,https://aclanthology.org/2021.emnlp-main.619.pdf,https://aclanthology.org/2021.emnlp-main.619/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.naacl-main.8,Mediators in Determining what Processing BERT Performs First,Aviv Slobodkin; Leshem Choshen; Omri Abend,2021,3,resources,conference,https://aclanthology.org/2021.naacl-main.8.pdf,https://aclanthology.org/2021.naacl-main.8/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2021.semeval-1.7,SemEval-2021 Task 6: Detection of Persuasion Techniques in Texts and Images,Dimitar Dimitrov; Bishr Bin Ali; Shaden Shaar; Firoj Alam,2021,3,resources,workshop,https://aclanthology.org/2021.semeval-1.7.pdf,https://aclanthology.org/2021.semeval-1.7/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.acl-long.121,Fully-Semantic Parsing and Generation: the BabelNet Meaning Representation,Abelardo Carlos Martínez Lorenzo; Marco Maru; Roberto Navigli,2022,3,resources,conference,https://aclanthology.org/2022.acl-long.121.pdf,https://aclanthology.org/2022.acl-long.121/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.conll-1.27,Enhancing the Transformer Decoder with Transition-based Syntax,Leshem Choshen; Omri Abend,2022,3,dialogue|resources,conference,https://aclanthology.org/2022.conll-1.27.pdf,https://aclanthology.org/2022.conll-1.27/,,acl,False,,"acl_web unreachable from this environment (ProxyError: HTTPSConnectionPool(host='aclanthology.org', por)"
doi:10.18653/v1/2022.naacl-main.13,Two Contrasting Data Annotation Paradigms for Subjective NLP Tasks,Paul Röttger; Bertie Vidgen; Dirk Hovy; Janet Pierrehumbert,2022,3,resources,conference,https://arxiv.org/pdf/2112.07475,https://aclanthology.org/2022.naacl-main.13/,,arxiv,False,,"arxiv unreachable from this environment (ProxyError: HTTPSConnectionPool(host='export.arxiv.org', por)"
